ForecastId,ConfirmedCases,Fatalities
1,275.97,8.04
2,331.59,9.34
3,314.44,7.84
4,360.4,15.88
5,429.02,17.87
6,422.32,17.93
7,442.93,14.7
8,472.03,15.07
9,505.21,16.11
10,540.67,17.92
11,582.23,18.7
12,649.5,23.85
13,682.19,22.63
14,745.2,24.46
15,815.71,28.13
16,878.98,29.54
17,924.98,30.19
18,981.91,32.01
19,1010.06,35.43
20,1053.05,35.48
21,1153.14,35.01
22,1206.23,41.92
23,1319.49,41.11
24,1474.24,58.71
25,1474.24,58.71
26,1429.35,57.86
27,1430.67,57.97
28,1430.67,57.82
29,1433.26,58.14
30,1020.41,36.04
31,1026.16,40.29
32,1027.38,40.09
33,1016.79,39.95
34,1022.86,40.24
35,1029.77,40.15
36,1034.5,40.19
37,1038.16,36.45
38,1048.04,40.75
39,1054.04,40.88
40,1057.69,40.88
41,1085.52,41.22
42,1098.15,41.53
43,1115.09,41.9
44,280.24,17.03
45,330.66,16.84
46,314.57,16.51
47,357.0,24.84
48,409.48,25.68
49,389.2,24.92
50,402.38,21.78
51,413.35,22.53
52,421.58,22.89
53,434.17,22.94
54,457.85,22.76
55,488.28,25.88
56,489.54,23.73
57,504.71,24.85
58,520.91,25.76
59,549.47,26.15
60,557.89,26.21
61,570.08,26.39
62,585.39,27.17
63,603.99,27.02
64,707.47,27.15
65,699.28,31.78
66,820.97,30.22
67,987.26,47.26
68,987.26,47.26
69,947.68,47.14
70,947.68,47.05
71,948.18,46.88
72,950.08,46.88
73,725.19,34.41
74,726.65,38.44
75,727.49,38.29
76,720.66,38.24
77,724.41,38.28
78,726.96,38.24
79,731.79,38.29
80,735.19,34.67
81,737.24,38.73
82,738.98,38.63
83,738.42,38.68
84,754.89,38.61
85,760.53,38.57
86,771.45,38.68
87,862.7,64.68
88,1112.13,86.95
89,1121.87,89.41
90,1260.41,143.38
91,1396.57,164.49
92,1469.68,189.36
93,1557.97,207.8
94,1657.19,234.26
95,1746.97,252.5
96,1820.95,273.68
97,1876.96,290.15
98,1945.41,306.95
99,1962.5,309.66
100,2154.28,343.7
101,2249.87,351.95
102,2319.44,358.45
103,2426.64,366.04
104,2395.43,366.24
105,2489.15,375.49
106,2652.07,394.21
107,2841.46,399.36
108,2889.22,401.06
109,2884.1,392.91
110,3048.77,400.19
111,3048.77,400.19
112,2979.63,389.8
113,2979.63,393.66
114,2979.63,396.29
115,2990.3,395.72
116,2346.02,316.16
117,2372.97,323.51
118,2374.48,323.87
119,2293.2,310.01
120,2298.11,313.87
121,2330.06,317.85
122,2352.19,320.72
123,2381.35,319.63
124,2443.2,331.5
125,2464.02,336.25
126,2390.65,331.53
127,2418.97,344.08
128,2440.46,353.05
129,2475.76,354.23
130,426.76,14.45
131,473.55,16.48
132,467.99,16.49
133,499.71,22.25
134,539.63,25.1
135,547.96,24.93
136,562.01,24.76
137,580.03,24.58
138,595.82,25.63
139,605.29,26.28
140,625.37,28.22
141,657.49,32.48
142,662.05,31.39
143,668.53,32.52
144,676.06,33.14
145,690.72,34.31
146,701.7,34.97
147,711.33,35.65
148,716.18,37.83
149,717.92,36.97
150,787.07,37.06
151,723.56,41.03
152,755.08,41.94
153,904.04,54.9
154,904.04,54.91
155,892.38,54.21
156,892.38,54.22
157,892.44,54.25
158,892.65,54.28
159,763.8,40.51
160,763.89,41.02
161,765.74,41.03
162,763.02,41.3
163,763.99,40.26
164,769.71,40.32
165,769.3,40.56
166,775.78,40.76
167,778.28,41.3
168,781.58,41.52
169,783.47,42.1
170,792.6,41.49
171,796.48,42.28
172,806.08,43.3
173,12.54,2.64
174,20.95,2.5
175,22.45,2.23
176,18.36,2.43
177,30.54,3.19
178,32.05,2.06
179,18.83,2.2
180,18.97,2.24
